file_path,label,source
dataset/python/human/data1.py,0,human
dataset/python/human/data2.py,0,human
dataset/python/human/data3.py,0,human
dataset/python/human/data4.py,0,human
dataset/python/human/data5.py,0,human
dataset/python/human/data6.py,0,human
dataset/python/human/data7.py,0,human
dataset/python/human/data8.py,0,human
dataset/python/human/data9.py,0,human
dataset/python/human/data10.py,0,human
dataset/python/human/data11.py,0,human
dataset/python/human/data12.py,0,human
dataset/python/human/data13.py,0,human
dataset/python/human/data14.py,0,human
dataset/python/human/data15.py,0,human
dataset/python/human/data16.py,0,human
dataset/python/human/data17.py,0,human
dataset/python/human/data18.py,0,human
dataset/python/human/data19.py,0,human
dataset/python/human/data20.py,0,human
dataset/python/human/data21.py,0,human
dataset/python/human/data22.py,0,human
dataset/python/human/data23.py,0,human
dataset/python/human/data24.py,0,human
dataset/python/human/data25.py,0,human
dataset/python/ai/data1_ai.py,1,ai
dataset/python/ai/data2_ai.py,1,ai
dataset/python/ai/data3_ai.py,1,ai
dataset/python/ai/data4_ai.py,1,ai
dataset/python/ai/data5_ai.py,1,ai
dataset/python/ai/data6_ai.py,1,ai
dataset/python/ai/data7_ai.py,1,ai
dataset/python/ai/data8_ai.py,1,ai
dataset/python/ai/data9_ai.py,1,ai
dataset/python/ai/data10_ai.py,1,ai
dataset/python/ai/data11_ai.py,1,ai
dataset/python/ai/data12_ai.py,1,ai
dataset/python/ai/data13_ai.py,1,ai
dataset/python/ai/data14_ai.py,1,ai
dataset/python/ai/data15_ai.py,1,ai
dataset/python/ai/data16_ai.py,1,ai
dataset/python/ai/data17_ai.py,1,ai
dataset/python/ai/data18_ai.py,1,ai
dataset/python/ai/data19_ai.py,1,ai
dataset/python/ai/data20_ai.py,1,ai
dataset/python/ai/data21_ai.py,1,ai
dataset/python/ai/data22_ai.py,1,ai
dataset/python/ai/data23_ai.py,1,ai
dataset/python/ai/data24_ai.py,1,ai
dataset/python/ai/data25_ai.py,1,ai
